,Media,Text,Date,Compound,Positive,Neutral,Negative
391,@FoxNews,.@RepPeteKing: ¡°I urge the president not to fire Bob Mueller. Let him complete the investigation.¡± https://t.co/Yy6GZiFXBV,Mon Mar 19 14:12:23 +0000 2018,0.2584,0.12,0.88,0.0
392,@FoxNews,"New Jersey judge, during DUI arrest, tells officers he is a 'f----ing judge' and will 'fight' them https://t.co/1c4TZG18Pz",Mon Mar 19 14:10:22 +0000 2018,-0.34,0.0,0.87,0.13
393,@FoxNews,The @USNavy @BlueAngels fly in formation during their #LukeDays2018 performance at Luke Air Force Base on March 18. https://t.co/C6bLXOoX2P,Mon Mar 19 13:33:14 +0000 2018,0.0,0.0,1.0,0.0
394,@FoxNews,English restaurant offering 200-ounce steak challenge: 'We wanted to bring a bit of fun to the restaurant' https://t.co/NPcvEBDsrq,Mon Mar 19 13:30:46 +0000 2018,0.5574,0.235,0.765,0.0
395,@FoxNews,Maryland I-270 pileup involving 20 vehicles leaves multiple injured https://t.co/GLKZxpuGEP,Mon Mar 19 13:16:16 +0000 2018,-0.5859,0.0,0.625,0.375
396,@FoxNews,"Pennsylvania college student reported missing in Bermuda, coach hopes for 'safe return' (via @travfed)  https://t.co/bJE6fxb2XW",Mon Mar 19 12:55:00 +0000 2018,0.5423,0.286,0.603,0.111
397,@FoxNews,'Outlander' actor says United crew was joking about stowing dogs in overhead bins https://t.co/R0ryfFzJgJ,Mon Mar 19 12:54:28 +0000 2018,0.5719,0.281,0.719,0.0
398,@FoxNews,".@seanhannity: ¡°The president is 1000% right, there never was any Trump-Russia collusion.¡± https://t.co/1y4yp1tTYX",Mon Mar 19 12:45:22 +0000 2018,0.0,0.0,1.0,0.0
399,@FoxNews,".@seanhannity: ¡°The only person that colluded in that campaign with the Russians, was Hillary Clinton.¡± https://t.co/BJs5dX5V8o",Mon Mar 19 12:43:32 +0000 2018,0.0,0.0,1.0,0.0
400,@nytimes,RT @nytmike: Dowd wants to quit. Trump¡¯s talking about firing Cobb. Another lawyer ¡ª who says FBI made up evidence against Trump ¡ª was hire¡­,Tue Mar 20 03:02:05 +0000 2018,-0.34,0.0,0.902,0.098
401,@nytimes,"The brother of Nikolas Cruz was charged with trespassing at Marjory Stoneman Douglas High School on Monday, the aut¡­ https://t.co/h0o2gTJ7HO",Tue Mar 20 02:47:07 +0000 2018,-0.2023,0.0,0.913,0.087
402,@nytimes,"Audit your Facebook apps, audit your Facebook privacy settings, and 5 other tips for protecting your data on Facebo¡­ https://t.co/t87b7WJjZH",Tue Mar 20 02:32:04 +0000 2018,0.0,0.0,1.0,0.0
403,@nytimes,"Claire¡¯s, the teen jewelry chain known for its ear-piercing services, filed for Chapter 11 bankruptcy protection https://t.co/mn4hvSQjkf",Tue Mar 20 02:17:06 +0000 2018,0.0,0.0,1.0,0.0
404,@nytimes,The Supreme Court rejected an emergency request from Pennsylvania Republicans to block new congressional voting dis¡­ https://t.co/DeLYEPkfdu,Tue Mar 20 02:02:02 +0000 2018,-0.6369,0.142,0.512,0.346
405,@nytimes,RT @sheeraf: To be clear: We spoke to seven current and former Facebook employees for this story on how internal disputes over FB's role in¡­,Tue Mar 20 01:47:04 +0000 2018,0.128,0.094,0.83,0.076
406,@nytimes,"A U.S. soldier in Niger warned that his unit was ill equipped for a raid on a militant. They were sent anyway, and¡­ https://t.co/0U7C8aSiyP",Tue Mar 20 01:32:03 +0000 2018,-0.5994,0.0,0.795,0.205
407,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/HYYSMwnO4R,Tue Mar 20 01:17:03 +0000 2018,0.0,0.0,1.0,0.0
408,@nytimes,"After we published an article on tipping and the power imbalance it creates between customers and servers, readers¡­ https://t.co/LJx3uSo2dF",Tue Mar 20 01:00:19 +0000 2018,0.2732,0.104,0.896,0.0
409,@nytimes,"RT @sheeraf: Full story now up. Alex Stamos is the first Facebook executive to leave the company, amid growing internal tensions over disin¡­",Tue Mar 20 00:48:11 +0000 2018,-0.296,0.066,0.781,0.152
410,@nytimes,"At a conference on whale biology in 1971, a female attendee was photographed but not identified. Last week, a team¡­ https://t.co/BfdgD7NSnJ",Tue Mar 20 00:32:02 +0000 2018,0.0,0.0,1.0,0.0
411,@nytimes,"RT @nytopinion: Despite Facebook¡¯s claims, everyone involved in the Cambridge Analytica data-siphoning incident did not give his or her ¡°co¡­",Tue Mar 20 00:17:03 +0000 2018,0.0,0.0,1.0,0.0
412,@nytimes,Mary Outerbridge set up a tennis court in Staten Island in her 20s. It may have been the first in the U.S. https://t.co/MrVl8V3Mll,Tue Mar 20 00:02:05 +0000 2018,0.0,0.0,1.0,0.0
413,@nytimes,New York City¡¯s subway hit a new low in January: Just 58.1% of weekday trains arrived on time. The MTA blamed bad w¡­ https://t.co/AjE2LhnBWu,Mon Mar 19 23:32:03 +0000 2018,-0.8271,0.0,0.697,0.303
414,@nytimes,"RT @KevinQ: The worst places for poor white children are almost all better than the best places for poor black children.

https://t.co/EPZt¡­",Mon Mar 19 23:17:05 +0000 2018,-0.539,0.2,0.498,0.302
415,@nytimes,Evening Briefing: Here's what you need to know at the end of the day https://t.co/tQvejB0Xpm,Mon Mar 19 23:02:04 +0000 2018,0.0,0.0,1.0,0.0
416,@nytimes,RT @nicoleperlroth: NEW: Facebook's security officer @alexstamos is leaving the company amid disagreements with Facebook execs over how to¡­,Mon Mar 19 22:44:07 +0000 2018,-0.1027,0.108,0.766,0.126
417,@nytimes,Alex Stamos is said to be leaving Facebook after internal disagreements over how the social network should deal wit¡­ https://t.co/2tbsL4WojM,Mon Mar 19 22:34:00 +0000 2018,-0.4215,0.0,0.872,0.128
418,@nytimes,Breaking News: A Facebook executive who urged transparency on Russian disinformation is said to be leaving after cl¡­ https://t.co/iFVb6BY6j7,Mon Mar 19 22:24:55 +0000 2018,0.0,0.0,1.0,0.0
419,@nytimes,"RT @UpshotNYT: The Supreme Court today refused to Intervene in the Pa. redistricting case. That means these districts are holding up, and D¡­",Mon Mar 19 22:17:03 +0000 2018,0.34,0.134,0.784,0.082
420,@nytimes,Photographers find new ways to frame the natural world https://t.co/dSKQ3jE90n https://t.co/2oMSS8Vyi9,Mon Mar 19 22:02:07 +0000 2018,0.3612,0.2,0.8,0.0
421,@nytimes,"RT @julieturkewitz: Tweeting some of the reaction to our story today: ""I have long thought the absence of Native Americans from any form of¡­",Mon Mar 19 21:47:01 +0000 2018,0.0,0.0,1.0,0.0
422,@nytimes,"Al Pacino and Michelle Pfeiffer will reunite for a 35th anniversary screening of ""Scarface"" at the Tribeca Film Fes¡­ https://t.co/CHjotO0oT8",Mon Mar 19 21:32:07 +0000 2018,0.0,0.0,1.0,0.0
